Table 2. Disability weights for 228 causes of disease from a paired comparison,,
Causes of disease,Disability weight,95% confidence interval
Tuberculosis,0.464,0.367-0.563
HIV disease resulting in mycobacterial infection,0.837,0.770-0.891
HIV disease resulting in other specified or unspecified diseases,0.794,0.717-0.859
Cholera,0.324,0.237-0.421
Other Salmonella infections,0.283,0.199-0.381
Shigellosis,0.372,0.278-0.475
Enteropathogenic E. coli infection,0.257,0.174-0.357
Enterotoxigenic E. coli infection,0.347,0.255-0.449
Campylobacter enteritis,0.206,0.133-0.298
Amoebiasis,0.461,0.364-0.561
Cryptosporidiosis,0.583,0.486-0.676
Rotaviral enteritis,0.152,0.091-0.233
Intestinal infection,0.155,0.091-0.243
Typhoid and paratyphoid fevers,0.347,0.252-0.452
Influenza,0.131,0.075-0.211
Pneumococcal pneumonia,0.385,0.288-0.490
H. influenza type B pneumonia,0.309,0.215-0.418
Respiratory syncytial virus pneumonia,0.260,0.177-0.360
Upper respiratory infections,0.088,0.045-0.154
Otitis media,0.138,0.078-0.222
Pneumococcal meningitis,0.551,0.458-0.642
H. influenza type B meningitis,0.523,0.427-0.620
Meningococcal infection,0.598,0.500-0.691
Encephalitis,0.721,0.636-0.798
Diphtheria,0.389,0.291-0.495
Whooping cough,0.256,0.176-0.351
Tetanus,0.524,0.425-0.623
Measles,0.279,0.192-0.383
Varicella,0.223,0.147-0.316
Malaria,0.471,0.373-0.573
Chagas disease,0.647,0.550-0.739
Leishmaniasis,0.411,0.317-0.512
African trypanosomiasis,0.515,0.416-0.616
Schistosomiasis,0.340,0.253-0.435
Cysticercosis,0.471,0.370-0.577
Echinococcosis,0.354,0.264-0.454
Lymphatic filariasis,0.564,0.465-0.661
Onchocerciasis,0.357,0.268-0.455
Trachoma,0.431,0.333-0.535
Dengue,0.428,0.331-0.530
Yellow fever,0.496,0.392-0.602
Rabies,0.797,0.718-0.864
Ascariasis,0.256,0.175-0.352
Trichuriasis,0.320,0.229-0.422
Hookworm disease,0.302,0.211-0.407
Food-borne trematodiases,0.329,0.238-0.430
Tsutsugamushi fever,0.317,0.230-0.417
Typhus fever,0.435,0.341-0.533
Hantaan virus disease,0.479,0.382-0.580
Intestinal helminth,0.341,0.250-0.443
Maternal hemorrhage,0.514,0.415-0.613
Maternal sepsis,0.825,0.755-0.881
Hypertensive disorders of pregnancy,0.508,0.405-0.610
Obstructed labor,0.471,0.374-0.572
Abortion,0.455,0.358-0.556
Preterm birth complications,0.678,0.584-0.763
Neonatal encephalopathy (birth asphyxia and birth trauma),0.911,0.858-0.949
