Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Drug-susceptible tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
Multidrug-resistant tuberculosis without extensive drug resistance ,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
Extensively drug-resistant tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.333,0.224,0.454
Latent tuberculosis infection,Asymptomatic,--,,,
Drug-susceptible HIV/AIDS - Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
Drug-susceptible HIV/AIDS - Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577
Drug-susceptible HIV/AIDS - Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
Drug-susceptible HIV/AIDS - Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577
Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
Extensively drug-resistant HIV/AIDS - Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),0.411,0.278,0.551
Extensively drug-resistant HIV/AIDS - Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),0.495,0.353,0.64
Extensively drug-resistant HIV/AIDS - Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.",0.408,0.274,0.549
Extensively drug-resistant HIV/AIDS - Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),0.439,0.307,0.577
Early HIV with severe anemia,"Anemia, severe; Generic uncomplicated disease anxiety",--,,,
Symptomatic HIV without anemia,"HIV cases, symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.",0.274,0.184,0.377
Early HIV with mild anemia,"Anemia, mild; Generic uncomplicated disease anxiety",--,,,
AIDS without antiretroviral treatment without anemia,"AIDS cases, not receiving ARV treatment","has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea. ",0.582,0.406,0.743
AIDS with antiretroviral treatment without anemia,"HIV/AIDS cases, receiving ARV treatment",has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,0.078,0.052,0.111
Early HIV with moderate anemia,"Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
Early HIV without anemia,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
Symptomatic HIV with moderate anemia,"HIV cases, symptomatic, pre-AIDS and anemia, moderate",(combined DW),0.312,0.217,0.418
Symptomatic HIV with severe anemia,"HIV cases, symptomatic, pre-AIDS and anemia, severe",(combined DW),0.381,0.269,0.505
AIDS with antiretroviral treatment with mild anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, mild",(combined DW),0.081,0.054,0.116
AIDS with antiretroviral treatment with moderate anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",(combined DW),0.125,0.085,0.176
AIDS with antiretroviral treatment with severe anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, severe",(combined DW),0.215,0.148,0.295
AIDS without antiretroviral treatment with mild anemia,"AIDS cases, not receiving ARV treatment and anemia, mild",(combined DW),0.583,0.409,0.743
AIDS without antiretroviral treatment with moderate anemia,"AIDS cases, not receiving ARV treatment and anemia, moderate",(combined DW),0.603,0.43,0.758
AIDS without antiretroviral treatment with severe anemia,"AIDS cases, not receiving ARV treatment and anemia, severe",(combined DW),0.642,0.47,0.792
Symptomatic HIV with mild anemia,"HIV cases, symptomatic, pre-AIDS and anemia, mild",(combined DW),0.277,0.189,0.379
Mild diarrheal diseases,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.074,0.049,0.104
Guillain-Barré syndrome due to diarrheal diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
Severe diarrheal diseases,"Diarrhea, severe",has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired. ,0.247,0.164,0.348
Moderate diarrheal diseases,"Diarrhea, moderate","has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty",0.188,0.125,0.264
Intestinal perforation due to typhoid,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
Severe typhoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Gastrointestinal bleeding due to typhoid,Gastric bleeding,vomits blood and feels nauseous.,0.325,0.209,0.462
Acute typhoid infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Acute paratyphoid infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Moderate paratyphoid fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Intestinal perforation due to paratyphoid,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
Severe paratyphoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Other intestinal infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
Guillain-Barré syndrome due to lower respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
Severe lower respiratory infections,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Moderate lower respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Mild upper respiratory infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
Moderate upper respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
Guillain-Barré syndrome due to upper respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
Vertigo with moderate hearing loss and ringing due to chronic otitis media,Vertigo with moderate hearing loss and ringing,--,,,
Vertigo with moderate hearing loss due to chronic otitis media,Vertigo with moderate hearing loss,--,,,
Severe infectious complications due to chronic otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013,0.007,0.024
Acute otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013,0.007,0.024
Vertigo with mild hearing loss and ringing due to chronic otitis media,Vertigo with mild hearing loss and ringing,--,,,
Vertigo with mild hearing loss due to chronic otitis media,Vertigo with mild hearing loss,--,,,
Moderate hearing loss due to chronic otitis media,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Mild hearing loss due to chronic otitis media,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Moderate hearing loss with ringing due to chronic otitis media,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Mild hearing loss with ringing due to chronic otitis media,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Epilepsy due to pneumococcal meningitis,Epilepsy,(combined DW),,,
Profound hearing loss due to pneumococcal meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
Acute pneumococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
Moderately severe hearing loss due to pneumococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
Borderline intellectual disability due to pneumococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Moderate hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Profound hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
Severe hearing loss due to pneumococcal meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
Mild behavioral problems due to pneumococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
Severe motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Mild motor impairment due to long term due to pneumococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
Monocular distance vision loss due to pneumococcal meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
Severe vision impairment due to pneumococcol meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
Moderately severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
